ticker,name,sector,cap_bucket,mcap_cr,price,high_52w,down_from_high_pct,pe,roce_min_observed,roce_avg,roce_years_available,sales_cagr_pct,de_ratio,fy_complete,fii_pct_unverified,passes,fail_reasons,notes,errors,ROCE_FY2021,ROCE_FY2022,ROCE_FY2023,ROCE_FY2024,ROCE_FY2025
RAINBOW.NS,Rainbow Children's Medicare Limited,Healthcare and Medical Devices,Small,14745.8,1453.5,1610.0,9.72,51.78,17.51,18.73,3,13.49,0.52,3,36.59,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 51.78 above ceiling 40.0,,,,,20.61,17.51,18.08
YATHARTH.NS,Yatharth Hospital & Trauma Care Services Limited,Healthcare and Medical Devices,Small,8169.4,847.8499755859375,919.5,7.79,45.41,10.89,18.86,3,30.47,0.01,3,12.49,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 45.41 above ceiling 40.0,,,,,28.22,17.46,10.89
INDRAMEDCO.NS,Indraprastha Medical Corporation Limited,Healthcare and Medical Devices,Small,3454.2,376.79998779296875,640.8499755859375,41.2,18.36,27.65,30.23,3,12.86,0.05,3,0.66,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,27.65,29.97,33.08
GLOBALHLTH.NS,GLOBALHLTH,Healthcare and Medical Devices,,,,,,,,,0,,,0,,False,only 0 FY(s) of usable fundamentals (need 4) | ROCE computable for only 0 FY(s) (need 4) | P/E unavailable (loss-making or EPS missing) | market cap unavailable,,income statement empty | balance sheet empty,,,,,
HCG.NS,HealthCare Global Enterprises Limited,Healthcare and Medical Devices,Small,10905.8,730.4500122070312,804.6500244140625,9.22,465.25,7.98,8.34,3,15.04,1.99,3,19.03,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 465.25 above ceiling 40.0 | debt/equity 1.99 above 1.0,,,,,7.98,8.58,8.47
SHALBY.NS,Shalby Limited,Healthcare and Medical Devices,Small,1658.5,154.57000732421875,274.70001220703125,43.73,44.16,7.57,9.6,3,16.59,0.48,3,0.06,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 44.16 above ceiling 40.0,,,,,10.12,11.1,7.57
KRSNAA.NS,Krsnaa Diagnostics Limited,Healthcare and Medical Devices,Small,1784.1,550.0,894.4000244140625,38.51,18.52,9.44,11.06,3,21.34,0.23,3,13.47,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,10.69,9.44,13.04
VIJAYA.NS,Vijaya Diagnostic Centre Limited,Healthcare and Medical Devices,Mid,15433.2,1498.4000244140625,1573.0,4.74,82.42,16.89,18.84,3,21.84,0.4,3,39.67,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 82.42 above ceiling 40.0,,,,,16.89,19.85,19.79
METROPOLIS.NS,Metropolis Healthcare Limited,Healthcare and Medical Devices,Small,11215.5,540.7999877929688,609.0499877929688,11.21,55.35,13.31,15.23,3,7.67,0.15,3,44.6,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 55.35 above ceiling 40.0,,,,,17.33,15.06,13.31
DRLALPATHLABS.NS,DRLALPATHLABS,Healthcare and Medical Devices,,,,,,,,,0,,,0,,False,only 0 FY(s) of usable fundamentals (need 4) | ROCE computable for only 0 FY(s) (need 4) | P/E unavailable (loss-making or EPS missing) | market cap unavailable,,income statement empty | balance sheet empty,,,,,
THYROCARE.NS,Thyrocare Technologies Limited,Healthcare and Medical Devices,Small,9019.7,566.7000122070312,662.0,14.4,51.47,16.37,20.16,3,14.72,0.05,3,22.5,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 51.47 above ceiling 40.0,,,,,16.37,18.1,26.01
POLYMED.NS,Poly Medicure Limited,Healthcare and Medical Devices,Mid,17936.9,1769.5999755859375,2144.89990234375,17.5,57.12,16.46,19.72,3,22.73,0.07,3,18.04,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 57.12 above ceiling 40.0,,,,,19.16,23.55,16.46
TARSONS.NS,Tarsons Products Limited,Healthcare and Medical Devices,Small,1794.6,337.29998779296875,375.0,10.05,161.39,7.1,11.17,3,18.1,0.54,3,0.01,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 161.39 above ceiling 40.0,,,,,17.07,9.33,7.1
