Company name,Financial Year,Model,Value,Estimated?,Method
Godawari Power and Ispat Limited,2021,(XGBoost) Intrinsic Value,83.11,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Godawari Power and Ispat Limited,2021,(Random Forest) Intrinsic Value,93.54,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Godawari Power and Ispat Limited,2021,(LightGBM) Intrinsic Value,85.13,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Taparia Tools Limited,2025,Market Price,8.09,no,directly computed from reported figures
Taparia Tools Limited,2025,(DCF) Intrinsic Value,1008.15,no,directly computed from reported figures
Taparia Tools Limited,2025,(P/E Relative Valuation) Intrinsic Value,2185.0,no,directly computed from reported figures
Taparia Tools Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,1529.86,no,directly computed from reported figures
Taparia Tools Limited,2025,(XGBoost) Intrinsic Value,20.79,no,directly computed from reported figures
Taparia Tools Limited,2025,(Random Forest) Intrinsic Value,17.23,no,directly computed from reported figures
Taparia Tools Limited,2025,(LightGBM) Intrinsic Value,18.79,no,directly computed from reported figures
Taparia Tools Limited,2024,Market Price,2.59,no,directly computed from reported figures
Taparia Tools Limited,2024,(DCF) Intrinsic Value,2220.17,no,directly computed from reported figures
Taparia Tools Limited,2024,(P/E Relative Valuation) Intrinsic Value,2105.15,no,directly computed from reported figures
Taparia Tools Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,1616.65,no,directly computed from reported figures
Taparia Tools Limited,2024,(XGBoost) Intrinsic Value,4.61,no,directly computed from reported figures
Taparia Tools Limited,2024,(Random Forest) Intrinsic Value,4.24,no,directly computed from reported figures
Taparia Tools Limited,2024,(LightGBM) Intrinsic Value,4.43,no,directly computed from reported figures
Taparia Tools Limited,2023,Market Price,2.33,no,directly computed from reported figures
Taparia Tools Limited,2023,(DCF) Intrinsic Value,1575.31,no,directly computed from reported figures
Taparia Tools Limited,2023,(P/E Relative Valuation) Intrinsic Value,1792.14,no,directly computed from reported figures
Taparia Tools Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,1224.99,no,directly computed from reported figures
Taparia Tools Limited,2023,(XGBoost) Intrinsic Value,0.58,YES,prediction clipped from 0.21 to 0.25 (outside plausible band 0.25-4.0)
Taparia Tools Limited,2023,(Random Forest) Intrinsic Value,2.83,no,directly computed from reported figures
Taparia Tools Limited,2023,(LightGBM) Intrinsic Value,0.83,no,directly computed from reported figures
Taparia Tools Limited,2022,Market Price,17.18,no,directly computed from reported figures
Taparia Tools Limited,2022,(DCF) Intrinsic Value,731.92,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Taparia Tools Limited,2022,(P/E Relative Valuation) Intrinsic Value,1874.69,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Taparia Tools Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,1021.61,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Taparia Tools Limited,2022,(XGBoost) Intrinsic Value,19.65,no,directly computed from reported figures
Taparia Tools Limited,2022,(Random Forest) Intrinsic Value,31.42,no,directly computed from reported figures
Taparia Tools Limited,2022,(LightGBM) Intrinsic Value,26.18,no,directly computed from reported figures
Taparia Tools Limited,2021,Market Price,17.15,no,directly computed from reported figures
Taparia Tools Limited,2021,(DCF) Intrinsic Value,623.58,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Taparia Tools Limited,2021,(P/E Relative Valuation) Intrinsic Value,891.88,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Taparia Tools Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,428.74,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Taparia Tools Limited,2021,(XGBoost) Intrinsic Value,4.29,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction); prediction clipped from 0.17 to 0.25 (outside plausible band 0.25-4.0)
Taparia Tools Limited,2021,(Random Forest) Intrinsic Value,22.03,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Taparia Tools Limited,2021,(LightGBM) Intrinsic Value,16.14,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Chennai Petroleum Corporation Limited,2025,Market Price,790.28,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2025,(DCF) Intrinsic Value,427.46,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2025,(P/E Relative Valuation) Intrinsic Value,145.5,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,271.61,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2025,(XGBoost) Intrinsic Value,1317.02,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2025,(Random Forest) Intrinsic Value,1153.34,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2025,(LightGBM) Intrinsic Value,1740.96,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2024,Market Price,556.35,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2024,(DCF) Intrinsic Value,1924.72,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2024,(P/E Relative Valuation) Intrinsic Value,1761.8,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,1279.08,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2024,(XGBoost) Intrinsic Value,964.38,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2024,(Random Forest) Intrinsic Value,801.58,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2024,(LightGBM) Intrinsic Value,1032.66,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2023,Market Price,250.25,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2023,(DCF) Intrinsic Value,6763.91,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2023,(P/E Relative Valuation) Intrinsic Value,2302.51,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,1667.03,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2023,(XGBoost) Intrinsic Value,478.42,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2023,(Random Forest) Intrinsic Value,331.42,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2023,(LightGBM) Intrinsic Value,344.82,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2022,Market Price,117.02,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2022,(DCF) Intrinsic Value,3743.63,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Chennai Petroleum Corporation Limited,2022,(P/E Relative Valuation) Intrinsic Value,2539.75,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Chennai Petroleum Corporation Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,2543.39,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Chennai Petroleum Corporation Limited,2022,(XGBoost) Intrinsic Value,158.63,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2022,(Random Forest) Intrinsic Value,202.48,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2022,(LightGBM) Intrinsic Value,194.73,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2021,Market Price,83.34,no,directly computed from reported figures
Chennai Petroleum Corporation Limited,2021,(DCF) Intrinsic Value,5465.01,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Chennai Petroleum Corporation Limited,2021,(P/E Relative Valuation) Intrinsic Value,1762.85,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Chennai Petroleum Corporation Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,1812.12,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Chennai Petroleum Corporation Limited,2021,(XGBoost) Intrinsic Value,171.76,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Chennai Petroleum Corporation Limited,2021,(Random Forest) Intrinsic Value,142.79,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Chennai Petroleum Corporation Limited,2021,(LightGBM) Intrinsic Value,164.56,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Petronet LNG Limited,2025,Market Price,325.21,no,directly computed from reported figures
Petronet LNG Limited,2025,(DCF) Intrinsic Value,506.18,no,directly computed from reported figures
Petronet LNG Limited,2025,(P/E Relative Valuation) Intrinsic Value,267.93,no,directly computed from reported figures
Petronet LNG Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,310.3,no,directly computed from reported figures
Petronet LNG Limited,2025,(XGBoost) Intrinsic Value,408.96,no,directly computed from reported figures
Petronet LNG Limited,2025,(Random Forest) Intrinsic Value,414.17,no,directly computed from reported figures
Petronet LNG Limited,2025,(LightGBM) Intrinsic Value,390.9,no,directly computed from reported figures
Petronet LNG Limited,2024,Market Price,232.72,no,directly computed from reported figures
Petronet LNG Limited,2024,(DCF) Intrinsic Value,727.61,no,directly computed from reported figures
Petronet LNG Limited,2024,(P/E Relative Valuation) Intrinsic Value,199.6,no,directly computed from reported figures
Petronet LNG Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,198.39,no,directly computed from reported figures
Petronet LNG Limited,2024,(XGBoost) Intrinsic Value,290.57,no,directly computed from reported figures
Petronet LNG Limited,2024,(Random Forest) Intrinsic Value,283.29,no,directly computed from reported figures
Petronet LNG Limited,2024,(LightGBM) Intrinsic Value,299.49,no,directly computed from reported figures
Petronet LNG Limited,2023,Market Price,215.24,no,directly computed from reported figures
Petronet LNG Limited,2023,(DCF) Intrinsic Value,244.17,no,directly computed from reported figures
Petronet LNG Limited,2023,(P/E Relative Valuation) Intrinsic Value,178.51,no,directly computed from reported figures
Petronet LNG Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,137.98,no,directly computed from reported figures
Petronet LNG Limited,2023,(XGBoost) Intrinsic Value,187.47,no,directly computed from reported figures
Petronet LNG Limited,2023,(Random Forest) Intrinsic Value,227.86,no,directly computed from reported figures
Petronet LNG Limited,2023,(LightGBM) Intrinsic Value,166.79,no,directly computed from reported figures
Petronet LNG Limited,2022,Market Price,224.51,no,directly computed from reported figures
Petronet LNG Limited,2022,(DCF) Intrinsic Value,458.86,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Petronet LNG Limited,2022,(P/E Relative Valuation) Intrinsic Value,240.22,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Petronet LNG Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,235.88,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Petronet LNG Limited,2022,(XGBoost) Intrinsic Value,208.13,no,directly computed from reported figures
Petronet LNG Limited,2022,(Random Forest) Intrinsic Value,335.9,no,directly computed from reported figures
Petronet LNG Limited,2022,(LightGBM) Intrinsic Value,217.93,no,directly computed from reported figures
Petronet LNG Limited,2021,Market Price,242.77,no,directly computed from reported figures
Petronet LNG Limited,2021,(DCF) Intrinsic Value,641.78,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Petronet LNG Limited,2021,(P/E Relative Valuation) Intrinsic Value,141.06,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Petronet LNG Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,142.15,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Petronet LNG Limited,2021,(XGBoost) Intrinsic Value,232.73,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Petronet LNG Limited,2021,(Random Forest) Intrinsic Value,272.23,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Petronet LNG Limited,2021,(LightGBM) Intrinsic Value,226.26,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
NMDC Limited,2025,Market Price,75.28,no,directly computed from reported figures
NMDC Limited,2025,(DCF) Intrinsic Value,156.02,YES,normalised FCFF (median of 4 positive years; FY2025 reported negative)
NMDC Limited,2025,(P/E Relative Valuation) Intrinsic Value,91.37,no,directly computed from reported figures
NMDC Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,79.21,no,directly computed from reported figures
NMDC Limited,2025,(XGBoost) Intrinsic Value,106.32,no,directly computed from reported figures
NMDC Limited,2025,(Random Forest) Intrinsic Value,112.77,no,directly computed from reported figures
NMDC Limited,2025,(LightGBM) Intrinsic Value,102.11,no,directly computed from reported figures
NMDC Limited,2024,Market Price,51.97,no,directly computed from reported figures
NMDC Limited,2024,(DCF) Intrinsic Value,243.29,no,directly computed from reported figures
NMDC Limited,2024,(P/E Relative Valuation) Intrinsic Value,60.59,no,directly computed from reported figures
NMDC Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,55.96,no,directly computed from reported figures
NMDC Limited,2024,(XGBoost) Intrinsic Value,81.18,no,directly computed from reported figures
NMDC Limited,2024,(Random Forest) Intrinsic Value,74.45,no,directly computed from reported figures
NMDC Limited,2024,(LightGBM) Intrinsic Value,75.95,no,directly computed from reported figures
NMDC Limited,2023,Market Price,35.52,no,directly computed from reported figures
NMDC Limited,2023,(DCF) Intrinsic Value,26.66,no,directly computed from reported figures
NMDC Limited,2023,(P/E Relative Valuation) Intrinsic Value,64.45,no,directly computed from reported figures
NMDC Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,52.19,no,directly computed from reported figures
NMDC Limited,2023,(XGBoost) Intrinsic Value,39.58,no,directly computed from reported figures
NMDC Limited,2023,(Random Forest) Intrinsic Value,55.22,no,directly computed from reported figures
NMDC Limited,2023,(LightGBM) Intrinsic Value,37.0,no,directly computed from reported figures
NMDC Limited,2022,Market Price,39.76,no,directly computed from reported figures
NMDC Limited,2022,(DCF) Intrinsic Value,143.04,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
NMDC Limited,2022,(P/E Relative Valuation) Intrinsic Value,61.1,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
NMDC Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,51.39,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
NMDC Limited,2022,(XGBoost) Intrinsic Value,66.1,no,directly computed from reported figures
NMDC Limited,2022,(Random Forest) Intrinsic Value,70.01,no,directly computed from reported figures
NMDC Limited,2022,(LightGBM) Intrinsic Value,74.52,no,directly computed from reported figures
NMDC Limited,2021,Market Price,24.76,no,directly computed from reported figures
NMDC Limited,2021,(DCF) Intrinsic Value,87.35,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
NMDC Limited,2021,(P/E Relative Valuation) Intrinsic Value,35.83,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
NMDC Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,30.76,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
NMDC Limited,2021,(XGBoost) Intrinsic Value,29.3,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
NMDC Limited,2021,(Random Forest) Intrinsic Value,31.0,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
NMDC Limited,2021,(LightGBM) Intrinsic Value,26.82,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
National Aluminium Company Limited,2025,Market Price,198.18,no,directly computed from reported figures
National Aluminium Company Limited,2025,(DCF) Intrinsic Value,813.75,no,directly computed from reported figures
National Aluminium Company Limited,2025,(P/E Relative Valuation) Intrinsic Value,352.23,no,directly computed from reported figures
National Aluminium Company Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,311.92,no,directly computed from reported figures
National Aluminium Company Limited,2025,(XGBoost) Intrinsic Value,306.96,no,directly computed from reported figures
National Aluminium Company Limited,2025,(Random Forest) Intrinsic Value,352.27,no,directly computed from reported figures
National Aluminium Company Limited,2025,(LightGBM) Intrinsic Value,336.56,no,directly computed from reported figures
National Aluminium Company Limited,2024,Market Price,104.96,no,directly computed from reported figures
National Aluminium Company Limited,2024,(DCF) Intrinsic Value,192.96,no,directly computed from reported figures
National Aluminium Company Limited,2024,(P/E Relative Valuation) Intrinsic Value,88.77,no,directly computed from reported figures
National Aluminium Company Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,97.06,no,directly computed from reported figures
National Aluminium Company Limited,2024,(XGBoost) Intrinsic Value,276.67,no,directly computed from reported figures
National Aluminium Company Limited,2024,(Random Forest) Intrinsic Value,179.42,no,directly computed from reported figures
National Aluminium Company Limited,2024,(LightGBM) Intrinsic Value,237.76,no,directly computed from reported figures
National Aluminium Company Limited,2023,Market Price,82.21,no,directly computed from reported figures
National Aluminium Company Limited,2023,(DCF) Intrinsic Value,67.19,YES,normalised FCFF (median of 2 positive years; FY2023 reported negative)
National Aluminium Company Limited,2023,(P/E Relative Valuation) Intrinsic Value,59.69,no,directly computed from reported figures
National Aluminium Company Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,56.82,no,directly computed from reported figures
National Aluminium Company Limited,2023,(XGBoost) Intrinsic Value,92.63,no,directly computed from reported figures
National Aluminium Company Limited,2023,(Random Forest) Intrinsic Value,104.35,no,directly computed from reported figures
National Aluminium Company Limited,2023,(LightGBM) Intrinsic Value,97.48,no,directly computed from reported figures
National Aluminium Company Limited,2022,Market Price,92.9,no,directly computed from reported figures
National Aluminium Company Limited,2022,(DCF) Intrinsic Value,57.96,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
National Aluminium Company Limited,2022,(P/E Relative Valuation) Intrinsic Value,60.07,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
National Aluminium Company Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,70.06,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
National Aluminium Company Limited,2022,(XGBoost) Intrinsic Value,217.06,no,directly computed from reported figures
National Aluminium Company Limited,2022,(Random Forest) Intrinsic Value,176.37,no,directly computed from reported figures
National Aluminium Company Limited,2022,(LightGBM) Intrinsic Value,219.14,no,directly computed from reported figures
National Aluminium Company Limited,2021,Market Price,38.2,no,directly computed from reported figures
National Aluminium Company Limited,2021,(DCF) Intrinsic Value,52.48,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
National Aluminium Company Limited,2021,(P/E Relative Valuation) Intrinsic Value,48.94,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
National Aluminium Company Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,56.56,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
National Aluminium Company Limited,2021,(XGBoost) Intrinsic Value,47.18,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
National Aluminium Company Limited,2021,(Random Forest) Intrinsic Value,47.69,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
National Aluminium Company Limited,2021,(LightGBM) Intrinsic Value,33.69,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Sun Pharmaceutical Industries Limited,2025,Market Price,1707.11,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2025,(DCF) Intrinsic Value,2963.99,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2025,(P/E Relative Valuation) Intrinsic Value,1698.1,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,1260.27,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2025,(XGBoost) Intrinsic Value,2436.24,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2025,(Random Forest) Intrinsic Value,2423.09,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2025,(LightGBM) Intrinsic Value,2501.25,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2024,Market Price,1187.32,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2024,(DCF) Intrinsic Value,3229.42,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2024,(P/E Relative Valuation) Intrinsic Value,1578.96,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,1023.33,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2024,(XGBoost) Intrinsic Value,1587.04,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2024,(Random Forest) Intrinsic Value,1591.17,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2024,(LightGBM) Intrinsic Value,1637.88,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2023,Market Price,941.64,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2023,(DCF) Intrinsic Value,524.22,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2023,(P/E Relative Valuation) Intrinsic Value,1843.81,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,970.2,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2023,(XGBoost) Intrinsic Value,1073.6,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2023,(Random Forest) Intrinsic Value,1091.3,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2023,(LightGBM) Intrinsic Value,964.61,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2022,Market Price,767.99,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2022,(DCF) Intrinsic Value,1367.83,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Sun Pharmaceutical Industries Limited,2022,(P/E Relative Valuation) Intrinsic Value,1468.73,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Sun Pharmaceutical Industries Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,1008.28,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Sun Pharmaceutical Industries Limited,2022,(XGBoost) Intrinsic Value,1149.61,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2022,(Random Forest) Intrinsic Value,1273.32,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2022,(LightGBM) Intrinsic Value,1134.84,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2021,Market Price,525.99,no,directly computed from reported figures
Sun Pharmaceutical Industries Limited,2021,(DCF) Intrinsic Value,1159.88,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Sun Pharmaceutical Industries Limited,2021,(P/E Relative Valuation) Intrinsic Value,1040.37,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Sun Pharmaceutical Industries Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,511.08,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Sun Pharmaceutical Industries Limited,2021,(XGBoost) Intrinsic Value,605.44,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Sun Pharmaceutical Industries Limited,2021,(Random Forest) Intrinsic Value,634.51,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Sun Pharmaceutical Industries Limited,2021,(LightGBM) Intrinsic Value,668.02,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Lupin Limited,2025,Market Price,1969.14,no,directly computed from reported figures
Lupin Limited,2025,(DCF) Intrinsic Value,2100.72,no,directly computed from reported figures
Lupin Limited,2025,(P/E Relative Valuation) Intrinsic Value,2726.33,no,directly computed from reported figures
Lupin Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,2121.61,no,directly computed from reported figures
Lupin Limited,2025,(XGBoost) Intrinsic Value,3087.17,no,directly computed from reported figures
Lupin Limited,2025,(Random Forest) Intrinsic Value,2967.76,no,directly computed from reported figures
Lupin Limited,2025,(LightGBM) Intrinsic Value,3023.6,no,directly computed from reported figures
Lupin Limited,2024,Market Price,1140.06,no,directly computed from reported figures
Lupin Limited,2024,(DCF) Intrinsic Value,3097.47,no,directly computed from reported figures
Lupin Limited,2024,(P/E Relative Valuation) Intrinsic Value,1709.86,no,directly computed from reported figures
Lupin Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,1503.37,no,directly computed from reported figures
Lupin Limited,2024,(XGBoost) Intrinsic Value,1523.23,no,directly computed from reported figures
Lupin Limited,2024,(Random Forest) Intrinsic Value,1617.41,no,directly computed from reported figures
Lupin Limited,2024,(LightGBM) Intrinsic Value,1416.96,no,directly computed from reported figures
Lupin Limited,2023,Market Price,690.87,no,directly computed from reported figures
Lupin Limited,2023,(DCF) Intrinsic Value,398.8,no,directly computed from reported figures
Lupin Limited,2023,(P/E Relative Valuation) Intrinsic Value,364.72,no,directly computed from reported figures
Lupin Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,668.02,no,directly computed from reported figures
Lupin Limited,2023,(XGBoost) Intrinsic Value,595.34,no,directly computed from reported figures
Lupin Limited,2023,(Random Forest) Intrinsic Value,839.34,no,directly computed from reported figures
Lupin Limited,2023,(LightGBM) Intrinsic Value,570.72,no,directly computed from reported figures
Lupin Limited,2022,Market Price,982.61,no,directly computed from reported figures
Lupin Limited,2022,(DCF) Intrinsic Value,103.73,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Lupin Limited,2022,(P/E Relative Valuation) Intrinsic Value,292.57,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Lupin Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,574.07,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Lupin Limited,2022,(XGBoost) Intrinsic Value,1076.12,no,directly computed from reported figures
Lupin Limited,2022,(Random Forest) Intrinsic Value,1714.58,no,directly computed from reported figures
Lupin Limited,2022,(LightGBM) Intrinsic Value,1468.5,no,directly computed from reported figures
Lupin Limited,2021,Market Price,948.88,no,directly computed from reported figures
Lupin Limited,2021,(DCF) Intrinsic Value,61.15,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Lupin Limited,2021,(P/E Relative Valuation) Intrinsic Value,149.56,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Lupin Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,358.7,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Lupin Limited,2021,(XGBoost) Intrinsic Value,889.14,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
