Company name,Financial Year,Model,Value,Estimated?,Method
Bharat Electronics Limited,2024,(P/E Relative Valuation) Intrinsic Value,124.49,no,directly computed from reported figures
Bharat Electronics Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,123.36,no,directly computed from reported figures
Bharat Electronics Limited,2024,(XGBoost) Intrinsic Value,218.05,no,directly computed from reported figures
Bharat Electronics Limited,2024,(Random Forest) Intrinsic Value,217.31,no,directly computed from reported figures
Bharat Electronics Limited,2024,(LightGBM) Intrinsic Value,242.89,no,directly computed from reported figures
Bharat Electronics Limited,2023,Market Price,93.83,no,directly computed from reported figures
Bharat Electronics Limited,2023,(DCF) Intrinsic Value,20.11,no,directly computed from reported figures
Bharat Electronics Limited,2023,(P/E Relative Valuation) Intrinsic Value,102.22,no,directly computed from reported figures
Bharat Electronics Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,62.76,no,directly computed from reported figures
Bharat Electronics Limited,2023,(XGBoost) Intrinsic Value,131.73,no,directly computed from reported figures
Bharat Electronics Limited,2023,(Random Forest) Intrinsic Value,140.05,no,directly computed from reported figures
Bharat Electronics Limited,2023,(LightGBM) Intrinsic Value,131.01,no,directly computed from reported figures
Bharat Electronics Limited,2022,Market Price,62.26,no,directly computed from reported figures
Bharat Electronics Limited,2022,(DCF) Intrinsic Value,150.03,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Bharat Electronics Limited,2022,(P/E Relative Valuation) Intrinsic Value,53.04,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Bharat Electronics Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,50.45,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Bharat Electronics Limited,2022,(XGBoost) Intrinsic Value,109.86,no,directly computed from reported figures
Bharat Electronics Limited,2022,(Random Forest) Intrinsic Value,103.84,no,directly computed from reported figures
Bharat Electronics Limited,2022,(LightGBM) Intrinsic Value,96.23,no,directly computed from reported figures
Bharat Electronics Limited,2021,Market Price,34.33,no,directly computed from reported figures
Bharat Electronics Limited,2021,(DCF) Intrinsic Value,95.74,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Bharat Electronics Limited,2021,(P/E Relative Valuation) Intrinsic Value,91.5,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Bharat Electronics Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,61.0,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Bharat Electronics Limited,2021,(XGBoost) Intrinsic Value,55.69,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Bharat Electronics Limited,2021,(Random Forest) Intrinsic Value,46.21,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Bharat Electronics Limited,2021,(LightGBM) Intrinsic Value,49.52,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Hindustan Aeronautics Limited,2025,Market Price,4333.59,no,directly computed from reported figures
Hindustan Aeronautics Limited,2025,(DCF) Intrinsic Value,7711.44,no,directly computed from reported figures
Hindustan Aeronautics Limited,2025,(P/E Relative Valuation) Intrinsic Value,4859.56,no,directly computed from reported figures
Hindustan Aeronautics Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,4736.33,no,directly computed from reported figures
Hindustan Aeronautics Limited,2025,(XGBoost) Intrinsic Value,7474.93,no,directly computed from reported figures
Hindustan Aeronautics Limited,2025,(Random Forest) Intrinsic Value,6358.26,no,directly computed from reported figures
Hindustan Aeronautics Limited,2025,(LightGBM) Intrinsic Value,7222.56,no,directly computed from reported figures
Hindustan Aeronautics Limited,2024,Market Price,2199.29,no,directly computed from reported figures
Hindustan Aeronautics Limited,2024,(DCF) Intrinsic Value,1592.18,no,directly computed from reported figures
Hindustan Aeronautics Limited,2024,(P/E Relative Valuation) Intrinsic Value,3034.17,no,directly computed from reported figures
Hindustan Aeronautics Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,3361.11,no,directly computed from reported figures
Hindustan Aeronautics Limited,2024,(XGBoost) Intrinsic Value,3577.62,no,directly computed from reported figures
Hindustan Aeronautics Limited,2024,(Random Forest) Intrinsic Value,3261.75,no,directly computed from reported figures
Hindustan Aeronautics Limited,2024,(LightGBM) Intrinsic Value,3951.93,no,directly computed from reported figures
Hindustan Aeronautics Limited,2023,Market Price,1124.48,no,directly computed from reported figures
Hindustan Aeronautics Limited,2023,(DCF) Intrinsic Value,4191.29,no,directly computed from reported figures
Hindustan Aeronautics Limited,2023,(P/E Relative Valuation) Intrinsic Value,2368.72,no,directly computed from reported figures
Hindustan Aeronautics Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,1974.36,no,directly computed from reported figures
Hindustan Aeronautics Limited,2023,(XGBoost) Intrinsic Value,1664.98,no,directly computed from reported figures
Hindustan Aeronautics Limited,2023,(Random Forest) Intrinsic Value,1439.37,no,directly computed from reported figures
Hindustan Aeronautics Limited,2023,(LightGBM) Intrinsic Value,1502.2,no,directly computed from reported figures
Hindustan Aeronautics Limited,2022,Market Price,613.81,no,directly computed from reported figures
Hindustan Aeronautics Limited,2022,(DCF) Intrinsic Value,1826.09,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Hindustan Aeronautics Limited,2022,(P/E Relative Valuation) Intrinsic Value,1433.17,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Hindustan Aeronautics Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,1490.36,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Hindustan Aeronautics Limited,2022,(XGBoost) Intrinsic Value,963.13,no,directly computed from reported figures
Hindustan Aeronautics Limited,2022,(Random Forest) Intrinsic Value,1056.12,no,directly computed from reported figures
Hindustan Aeronautics Limited,2022,(LightGBM) Intrinsic Value,995.46,no,directly computed from reported figures
Hindustan Aeronautics Limited,2021,Market Price,415.93,no,directly computed from reported figures
Hindustan Aeronautics Limited,2021,(DCF) Intrinsic Value,1793.87,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Hindustan Aeronautics Limited,2021,(P/E Relative Valuation) Intrinsic Value,2271.49,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Hindustan Aeronautics Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,1589.54,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Hindustan Aeronautics Limited,2021,(XGBoost) Intrinsic Value,786.74,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Hindustan Aeronautics Limited,2021,(Random Forest) Intrinsic Value,597.83,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Hindustan Aeronautics Limited,2021,(LightGBM) Intrinsic Value,745.48,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Apollo Micro Systems Limited,2025,Market Price,109.46,no,directly computed from reported figures
Apollo Micro Systems Limited,2025,(P/E Relative Valuation) Intrinsic Value,64.8,no,directly computed from reported figures
Apollo Micro Systems Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,76.68,no,directly computed from reported figures
Apollo Micro Systems Limited,2025,(XGBoost) Intrinsic Value,153.25,no,directly computed from reported figures
Apollo Micro Systems Limited,2025,(Random Forest) Intrinsic Value,192.89,no,directly computed from reported figures
Apollo Micro Systems Limited,2025,(LightGBM) Intrinsic Value,145.18,no,directly computed from reported figures
Apollo Micro Systems Limited,2024,Market Price,78.44,no,directly computed from reported figures
Apollo Micro Systems Limited,2024,(P/E Relative Valuation) Intrinsic Value,26.62,no,directly computed from reported figures
Apollo Micro Systems Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,26.19,no,directly computed from reported figures
Apollo Micro Systems Limited,2024,(XGBoost) Intrinsic Value,135.03,no,directly computed from reported figures
Apollo Micro Systems Limited,2024,(Random Forest) Intrinsic Value,134.96,no,directly computed from reported figures
Apollo Micro Systems Limited,2024,(LightGBM) Intrinsic Value,150.15,no,directly computed from reported figures
Apollo Micro Systems Limited,2023,Market Price,20.63,no,directly computed from reported figures
Apollo Micro Systems Limited,2023,(P/E Relative Valuation) Intrinsic Value,12.7,no,directly computed from reported figures
Apollo Micro Systems Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,17.79,no,directly computed from reported figures
Apollo Micro Systems Limited,2023,(XGBoost) Intrinsic Value,32.9,no,directly computed from reported figures
Apollo Micro Systems Limited,2023,(Random Forest) Intrinsic Value,34.86,no,directly computed from reported figures
Apollo Micro Systems Limited,2023,(LightGBM) Intrinsic Value,30.85,no,directly computed from reported figures
Apollo Micro Systems Limited,2022,Market Price,11.97,no,directly computed from reported figures
Apollo Micro Systems Limited,2022,(DCF) Intrinsic Value,2.77,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Apollo Micro Systems Limited,2022,(P/E Relative Valuation) Intrinsic Value,5.5,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Apollo Micro Systems Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,9.79,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Apollo Micro Systems Limited,2022,(XGBoost) Intrinsic Value,16.13,no,directly computed from reported figures
Apollo Micro Systems Limited,2022,(Random Forest) Intrinsic Value,23.68,no,directly computed from reported figures
Apollo Micro Systems Limited,2022,(LightGBM) Intrinsic Value,25.26,no,directly computed from reported figures
Apollo Micro Systems Limited,2021,Market Price,10.85,no,directly computed from reported figures
Apollo Micro Systems Limited,2021,(DCF) Intrinsic Value,1.37,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Apollo Micro Systems Limited,2021,(P/E Relative Valuation) Intrinsic Value,4.02,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Apollo Micro Systems Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,7.29,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
